"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"5451";0;0;0;1;0;0;1;0;0;0;76;2035;67,55;12,8221012973138;12;93;13;47,9232;7,68356;17817;"6"
"5452";0;0;0;1;0;0;1;0;0;0;45;3073;-195,29;9,46192596883468;24;93;37;47,8792;7,66162;5848;"6"
"5453";0;0;0;1;0;0;1;0;0;0;74;3964;44,03;13,0493647663551;24;87;13;47,6595;8,36288;6470;"6"
"5454";0;0;0;1;0;0;1;0;0;0;43;3131;-9,55;10,4433516092681;24;87;23;47,6595;8,36288;6470;"6"
"5455";0;0;0;1;0;1;0;0;0;0;86;1520;145,74;8,72223910217347;12;87;37;47,8316;7,72414;2641;"8"
"5456";0;0;0;1;0;1;0;0;0;0;77;2040;19,64;10,0771251490253;12;94;25;47,962;7,74013;5969;"8"
"5457";0;0;0;1;0;0;1;0;0;0;66;1614;17,13;9,505915;24;88;13;47,8792;7,66162;5848;"6"
"5458";0;0;0;1;0;1;0;0;0;0;45;3707;81,34;14,4184489160234;12;88;13;47,7119;8,10084;1366;"8"
"5459";0;0;0;1;0;0;1;0;0;0;73;2980;77,71;13,5176918109188;24;88;13;47,6527;8,24516;22160;"6"
"5460";0;0;0;1;0;1;0;0;0;0;27;2749;41,51;12,6522057885335;24;77;0;47,7745;8,25041;2198;"8"
"5461";0;0;0;1;0;1;0;0;0;0;31;3201;-48,34;14,1670459014749;24;92;13;47,8709;7,73712;7355;"8"
"5462";1;0;0;1;1;1;0;0;0;0;51;1980;114,5;11,7844571729958;24;92;13;47,8709;7,73712;7355;"3"
"5463";0;0;0;1;0;0;1;0;0;0;60;1617;37,33;11,7008133164129;24;81;0;47,9232;7,68356;17817;"6"
"5464";0;0;0;1;0;1;0;0;0;0;71;2961;-9,51;13,4614326123596;24;93;13;47,814;8,32346;6774;"8"
"5465";0;0;0;1;0;0;1;0;0;0;55;1719;13,98;11,5671873028863;12;87;37;47,6595;8,36288;6470;"6"
"5466";0;0;0;1;0;0;1;0;0;0;51;2107;56,36;13,1093725455169;12;88;13;47,9232;7,68356;17817;"6"
"5467";1;0;0;1;0;0;1;0;0;0;82;1929;88,05;12,400984205086;12;88;37;47,9232;7,68356;17817;"6"
"5468";0;0;0;1;0;0;1;0;0;0;66;3685;22,71;11,8134606127027;24;82;25;47,6595;8,36288;6470;"6"
"5469";0;0;0;1;0;0;1;0;0;0;61;2052;2,78;13,5746288959042;24;93;37;47,9232;7,68356;17817;"6"
"5470";1;0;0;1;0;1;0;0;0;0;60;2455;154,4;11,9768222873853;24;87;13;47,8123;7,65944;18072;"8"
"5471";0;0;0;1;0;0;1;0;0;0;48;1034;-2,23;9,19246222222223;24;94;13;47,9232;7,68356;17817;"6"
"5472";0;0;0;1;0;1;0;0;0;0;47;3599;69,84;12,354074324168;12;75;0;47,6124;8,17078;2343;"8"
"5473";0;0;1;1;0;1;0;0;0;0;50;2720;145,33;12,7544245508982;24;82;13;47,9306;7,62142;4611;"5"
"5474";0;0;0;1;0;1;0;0;0;0;50;3245;-423,09;13,8798887928022;24;80;0;47,8545;7,82207;5056;"8"
"5475";0;0;0;1;0;0;1;0;0;0;51;1734;-636,22;10,2469866666667;12;86;35;47,8792;7,66162;5848;"6"
"5476";0;0;0;1;0;0;1;0;0;0;76;884;18,49;8,54694528455285;24;92;13;47,9232;7,68356;17817;"6"
"5477";0;0;0;1;0;0;1;0;0;0;61;1699;58,08;12,0956591206054;24;75;0;47,6256;8,33273;7512;"6"
"5478";0;0;0;1;0;1;0;0;0;0;56;6503;-24,61;8,35653152968543;24;87;25;47,8964;7,63964;2335;"0"
"5479";0;0;0;1;0;1;0;0;0;0;33;2745;-80,35;9,89273389926429;12;87;13;47,8123;7,65944;18072;"8"
"5480";1;0;0;1;0;1;0;0;0;0;77;3310;39,97;13,3844598484848;12;82;13;47,9992;7,72005;12470;"8"
"5481";1;0;0;1;0;1;0;0;0;0;73;1735;190,57;10,9154147433793;24;94;13;47,962;7,74013;5969;"8"
"5482";0;0;0;1;0;1;0;0;0;0;54;3269;-28,79;13,2760042838652;12;94;13;47,962;7,74013;5969;"8"
"5483";0;1;0;1;0;1;0;0;0;0;63;2916;40,42;12,3577396918768;12;81;37;47,962;7,74013;5969;"2"
"5484";0;0;0;1;0;1;0;0;0;0;43;3180;-206,84;13,1200984848485;12;69;0;47,9306;7,62142;4611;"8"
"5485";0;0;0;1;0;1;0;0;0;0;77;2724;69,31;11,8580190726817;12;81;37;48,7811;9,12408;13092;"0"
"5486";0;0;0;1;0;1;0;0;0;0;78;1260;35,58;8,46454528351881;24;88;13;47,8123;7,65944;18072;"8"
"5487";0;0;0;1;0;1;0;0;0;0;52;1588;19,46;8,89933376406674;12;87;37;47,8123;7,65944;18072;"8"
"5488";0;0;0;1;0;1;0;0;0;0;50;7197;117,5;8,74053916249884;24;82;25;47,6004;8,33152;5289;"0"
"5489";0;0;0;1;0;1;0;0;0;0;78;1818;8,17;10,1459290968343;24;92;31;47,8709;7,73712;7355;"8"
"5490";1;0;0;1;0;0;1;0;0;0;77;1993;82,12;12,6551394220694;12;82;13;47,9232;7,68356;17817;"6"
"5491";0;0;0;1;0;0;1;0;0;0;42;1494;-96,69;10,6749353856749;12;87;13;47,6595;8,36288;6470;"6"
"5492";0;0;0;1;0;1;0;0;0;0;40;3234;-80,18;13,1850904901961;12;88;13;47,6004;8,33152;5289;"8"
"5493";0;0;0;1;0;0;1;0;0;0;48;2079;17,09;12,9970000490196;12;87;13;47,6595;8,36288;6470;"6"
"5494";0;0;0;1;0;1;0;0;0;0;61;3751;83,75;13,023037732355;24;93;13;47,7701;8,43005;5122;"8"
"5495";0;0;0;1;0;1;0;0;0;0;45;1898;-47,06;9,7077423655914;12;81;37;47,9306;7,62142;4611;"8"
"5496";0;0;1;1;0;1;0;0;0;0;45;2654;-63,92;12,5597745035924;24;87;13;47,8964;7,63964;2335;"5"
"5497";0;0;0;1;0;0;1;0;0;0;50;2143;71,71;14,0153200764743;24;75;0;47,6595;8,36288;6470;"6"
"5498";0;0;0;1;0;0;1;0;0;0;57;3040;51,05;10,5752469048461;24;88;25;47,6256;8,33273;7512;"6"
"5499";0;0;0;0;0;0;1;0;0;0;66;5187;-346,52;10,3014030657024;12;81;13;47,9232;7,68356;17817;"0"
"5500";0;0;0;1;0;0;1;0;0;0;73;2005;39,22;13,0386436957173;24;69;0;47,6595;8,36288;6470;"6"
"5501";0;0;0;1;0;0;1;0;0;0;87;1847;38,41;12,6909036095101;24;93;13;47,9232;7,68356;17817;"6"
"5502";0;0;0;1;0;1;0;0;0;0;83;2845;-66;13,1222552310488;24;87;13;47,8964;7,63964;2335;"8"
"5503";0;0;0;1;0;0;1;0;0;0;49;2030;27,86;13,4795806152927;24;87;13;47,6256;8,33273;7512;"6"
"5504";0;0;0;1;0;0;1;0;0;0;71;2691;4,14;12,6682605755064;24;83;13;47,6527;8,24516;22160;"6"
"5505";0;0;0;1;0;0;1;0;0;0;50;3063;30,38;10,3188675756838;24;92;23;47,9232;7,68356;17817;"6"
